Month,MineLog,Constrct,ManFact,Trad tranutil,Info,Finnc,Prof_Busn,Educ_Hlth,Leishospt,Os,Gov
200,1.8,2.2,1.5,2.4,1.6,1.2,3.2,1.7,3.8,2.4,0.7
201,2.5,2.4,1.5,2.4,1.8,1.3,3.2,1.7,4,2.2,0.8
202,2.8,2.5,1.6,2.3,1.5,1.5,3.1,1.8,3.9,1.9,0.8
203,2.2,1.9,1.5,2.3,1.6,1.4,3.3,1.7,4.1,1.7,0.8
204,2.4,2.1,1.6,2.5,1.8,1.5,3,1.7,4.1,1.9,0.8
205,2.9,2.2,1.6,2.4,1.6,1.4,2.7,1.6,3.8,1.9,0.8
206,2.8,2.2,1.7,2.3,1.8,1.4,3.1,1.7,4.3,2,0.7
207,2.6,2.2,1.7,2.4,1.6,1.3,3.1,1.8,4.3,2.8,0.8
208,3,2.4,1.6,2.5,1.6,1.1,3.3,1.9,4.4,2.1,0.8
209,3.1,2.3,1.6,2.6,1.8,1.3,3.1,2.1,4.3,2.1,0.8
210,2.8,2.5,1.7,2.6,1.8,1.4,3.1,1.9,4.2,1.7,0.9
211,2.9,2.7,1.8,2.6,1.7,1.5,3,1.9,4.4,2,0.8
212,2.8,2.5,1.7,2.7,1.6,1.6,2.9,2,4.5,2.2,0.8
213,3,2.2,1.6,2.8,1.6,1.5,2.9,1.8,4.6,2.5,0.8
214,2.6,2.3,1.6,2.7,1.5,1.2,3.1,2,4.4,2.3,0.8
215,2.5,2.4,1.7,2.6,1.9,1.3,3,2,4.3,2.6,0.8
216,2.8,2.4,1.5,2.6,1.5,1.5,3,2,4.2,1.8,0.8
217,2.3,2.6,1.7,2.5,2,1.2,3.1,2,4.6,2.4,0.9
218,2.7,2.7,1.6,2.7,1.7,1.2,3.1,2,4.7,2.1,0.8
219,2.9,2,1.7,2.7,1.7,1.2,3.3,2,4.5,2.2,0.8
220,2.4,1.9,1.8,2.7,1.9,1.5,3.1,1.9,4.6,2.4,0.8
221,1.9,2.2,1.6,2.8,1.8,1.5,3,1.7,4.6,2.5,0.9
222,1.8,2.5,1.6,2.7,1.5,1.5,3,1.8,4.8,2.2,0.9
223,1.9,2.3,1.5,2.8,1.3,1.5,3.2,2,4.8,2.6,0.8
224,1.9,2.3,1.6,2.8,1.6,1.6,3,2,4.9,1.9,0.8
225,1.5,2.4,1.7,2.7,1.4,1.5,3,1.8,4.4,2.1,0.8
226,1.7,2.4,1.6,2.3,1.6,1.5,2.9,1.9,4.6,3,0.8
227,2,2.2,1.5,2.9,1.5,1.8,2.9,1.8,4.4,2.2,0.8
228,1.8,2.2,1.6,2.6,1.4,1.5,3,2,4.5,2.4,0.8
229,2,2.1,1.5,3,1.2,1.5,3.2,2,4.4,1.6,0.8
230,1.9,2,1.5,2.8,1.8,1.5,2.9,2,4.1,2.1,0.8
231,1.3,1.8,1.2,2.2,1.5,1.2,2.7,1.9,3.2,1,1
232,0.9,1.4,1,1.8,1.5,0.8,2.3,1.8,3.6,1,0.8
233,1.1,1.4,1.2,2,2,1,2.2,1.5,3.5,0.7,0.9
234,1.4,1.9,1.7,2.4,1.2,1.1,2.1,1.9,3.6,1.8,0.9
235,1.7,2,1.6,2.9,1.4,1.1,2.9,2.1,4,2.3,1.1
236,1.1,1.3,1.9,2.7,1.4,1.5,2.7,1.9,3.9,1.1,1
237,1.3,2,2.1,2.7,1.3,1.3,3.3,2,4.5,2.1,0.9
238,1.4,1.8,1.9,2.8,1.5,1.5,3,2.2,4.4,2,1.1
239,2,2.2,1.9,2.8,1.5,1.4,2.9,1.9,4.6,2.3,0.9
240,1.6,2.2,2,3,1.5,1.2,2.8,2,5.2,2.1,0.9
241,1.3,1.9,2.1,2.8,1.4,1.7,2.8,2,4.9,2.1,0.8
242,2.1,2.3,2.1,2.8,1.5,1.5,2.9,2,4.6,2.4,0.9
243,1.5,2.7,2.1,2.9,2.1,1.4,2.9,2.2,5.1,2.3,0.8
244,1.9,2.4,2.3,3.5,1.9,1.6,3.7,2.4,5.3,2.3,0.8
245,1.7,2.1,2,3.1,1.6,1.4,3,2.2,5.3,2.6,0.7
246,1.9,2.5,2.5,3.3,1.8,1.4,3.3,2.3,5.2,2.3,0.7
247,1.5,2.7,2.4,3.5,1.8,1.5,3.3,2.5,5.3,2.5,0.7
248,1.6,2.7,2.5,3.7,1.6,1.3,3.4,2.4,6.4,2.4,0.8
